config_name,dimension,period,algorithm,avg_correlation,max_correlation,market,sharpe_mean,return_mean
adx_score_2019_2021_clustering,adx_score,2019_2021,clustering,0.2109884743128337,0.7091650027720138,bear_market,-0.50395,-4.218950000000001
adx_score_2019_2021_greedy,adx_score,2019_2021,greedy,0.3657511618160765,0.9773457735581024,bear_market,-0.6219,-6.236700000000001
adx_score_2022_2023_clustering,adx_score,2022_2023,clustering,0.3135474188645497,0.8291439592853544,bull_market,0.17345,7.743499999999999
adx_score_2022_2023_greedy,adx_score,2022_2023,greedy,0.4027276083896381,0.9795465049178128,bull_market,0.42355,12.46585
liquidity_score_2019_2021_clustering,liquidity_score,2019_2021,clustering,0.3299711792062374,0.9514642068894202,bear_market,-0.0793333333333333,-0.2320555555555557
liquidity_score_2019_2021_greedy,liquidity_score,2019_2021,greedy,0.4764616251543146,0.9754114284799028,bear_market,-0.44065,-2.42465
liquidity_score_2022_2023_clustering,liquidity_score,2022_2023,clustering,0.3080264460131324,0.8205100916816536,bull_market,-0.0272105263157894,0.6812105263157896
liquidity_score_2022_2023_greedy,liquidity_score,2022_2023,greedy,0.5137609275696214,0.9651302733513152,bull_market,-0.104,7.46255
momentum_12m_2019_2021_clustering,momentum_12m,2019_2021,clustering,0.308252075643887,0.8132110335417772,bear_market,-0.1745,-0.8208500000000001
momentum_12m_2019_2021_greedy,momentum_12m,2019_2021,greedy,0.3856678253931732,0.9520227245347692,bear_market,0.13135,3.95715
momentum_12m_2022_2023_clustering,momentum_12m,2022_2023,clustering,0.2322839704254107,0.8219903292842436,bull_market,-0.03325,3.13865
momentum_12m_2022_2023_greedy,momentum_12m,2022_2023,greedy,0.3824194457381625,0.9658292619921408,bull_market,-0.1069,0.3813000000000001
price_efficiency_2019_2021_clustering,price_efficiency,2019_2021,clustering,0.2913338040080733,0.8147351977402355,bear_market,-0.184,-1.446550000000001
price_efficiency_2019_2021_greedy,price_efficiency,2019_2021,greedy,0.3294193632592525,0.9568325622803396,bear_market,-0.0009999999999999,2.05765
price_efficiency_2022_2023_clustering,price_efficiency,2022_2023,clustering,0.2317877053941773,0.6842084103202432,bull_market,-0.0416499999999999,6.0241
price_efficiency_2022_2023_greedy,price_efficiency,2022_2023,greedy,0.2703581215841805,0.9785361331818988,bull_market,-0.0021499999999999,6.383400000000001
trend_consistency_2019_2021_clustering,trend_consistency,2019_2021,clustering,0.2652156497766133,0.8393069180084477,bear_market,-0.3772105263157894,-2.9117894736842103
trend_consistency_2019_2021_greedy,trend_consistency,2019_2021,greedy,0.3731301485766934,0.9773457735581024,bear_market,-0.5066499999999999,-4.962650000000001
trend_consistency_2022_2023_clustering,trend_consistency,2022_2023,clustering,0.2743448412722445,0.8253531432279666,bull_market,0.0864,6.682950000000001
trend_consistency_2022_2023_greedy,trend_consistency,2022_2023,greedy,0.4098092813876874,0.974079527753102,bull_market,0.1036999999999999,6.9796
trend_quality_2019_2021_clustering,trend_quality,2019_2021,clustering,0.2677393783556032,0.8320733691164461,bear_market,-0.3760526315789473,-4.023526315789474
trend_quality_2019_2021_greedy,trend_quality,2019_2021,greedy,0.4634566556753086,0.9760340677207702,bear_market,-0.2655,-0.9771000000000004
trend_quality_2022_2023_clustering,trend_quality,2022_2023,clustering,0.2790051687328926,0.7794452097028417,bull_market,0.055111111111111,5.955444444444445
trend_quality_2022_2023_greedy,trend_quality,2022_2023,greedy,0.3834501462951301,0.9795465049178128,bull_market,0.1151,4.1838
