config_name,dimension,period,algorithm,num_etfs,output_path,avg_correlation,max_correlation
adx_score_2019_2021_clustering,adx_score,2019_2021,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/adx_score_2019_2021_clustering.csv,0.21098847431283377,0.7091650027720138
adx_score_2019_2021_greedy,adx_score,2019_2021,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/adx_score_2019_2021_greedy.csv,0.3657511618160765,0.9773457735581023
adx_score_2022_2023_clustering,adx_score,2022_2023,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/adx_score_2022_2023_clustering.csv,0.31354741886454973,0.8291439592853544
adx_score_2022_2023_greedy,adx_score,2022_2023,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/adx_score_2022_2023_greedy.csv,0.4027276083896381,0.9795465049178129
liquidity_score_2019_2021_clustering,liquidity_score,2019_2021,clustering,18,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/liquidity_score_2019_2021_clustering.csv,0.3299711792062374,0.9514642068894202
liquidity_score_2019_2021_greedy,liquidity_score,2019_2021,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/liquidity_score_2019_2021_greedy.csv,0.4764616251543146,0.9754114284799027
liquidity_score_2022_2023_clustering,liquidity_score,2022_2023,clustering,19,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/liquidity_score_2022_2023_clustering.csv,0.30802644601313245,0.8205100916816536
liquidity_score_2022_2023_greedy,liquidity_score,2022_2023,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/liquidity_score_2022_2023_greedy.csv,0.5137609275696214,0.9651302733513152
momentum_12m_2019_2021_clustering,momentum_12m,2019_2021,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/momentum_12m_2019_2021_clustering.csv,0.30825207564388707,0.8132110335417772
momentum_12m_2019_2021_greedy,momentum_12m,2019_2021,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/momentum_12m_2019_2021_greedy.csv,0.3856678253931732,0.9520227245347691
momentum_12m_2022_2023_clustering,momentum_12m,2022_2023,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/momentum_12m_2022_2023_clustering.csv,0.23228397042541077,0.8219903292842436
momentum_12m_2022_2023_greedy,momentum_12m,2022_2023,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/momentum_12m_2022_2023_greedy.csv,0.38241944573816256,0.9658292619921409
price_efficiency_2019_2021_clustering,price_efficiency,2019_2021,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/price_efficiency_2019_2021_clustering.csv,0.2913338040080733,0.8147351977402355
price_efficiency_2019_2021_greedy,price_efficiency,2019_2021,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/price_efficiency_2019_2021_greedy.csv,0.32941936325925253,0.9568325622803396
price_efficiency_2022_2023_clustering,price_efficiency,2022_2023,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/price_efficiency_2022_2023_clustering.csv,0.23178770539417734,0.6842084103202432
price_efficiency_2022_2023_greedy,price_efficiency,2022_2023,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/price_efficiency_2022_2023_greedy.csv,0.2703581215841805,0.9785361331818989
trend_consistency_2019_2021_clustering,trend_consistency,2019_2021,clustering,19,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_consistency_2019_2021_clustering.csv,0.2652156497766133,0.8393069180084477
trend_consistency_2019_2021_greedy,trend_consistency,2019_2021,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_consistency_2019_2021_greedy.csv,0.37313014857669347,0.9773457735581023
trend_consistency_2022_2023_clustering,trend_consistency,2022_2023,clustering,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_consistency_2022_2023_clustering.csv,0.27434484127224457,0.8253531432279666
trend_consistency_2022_2023_greedy,trend_consistency,2022_2023,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_consistency_2022_2023_greedy.csv,0.4098092813876874,0.9740795277531021
trend_quality_2019_2021_clustering,trend_quality,2019_2021,clustering,19,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_quality_2019_2021_clustering.csv,0.26773937835560324,0.8320733691164461
trend_quality_2019_2021_greedy,trend_quality,2019_2021,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_quality_2019_2021_greedy.csv,0.4634566556753086,0.9760340677207702
trend_quality_2022_2023_clustering,trend_quality,2022_2023,clustering,18,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_quality_2022_2023_clustering.csv,0.27900516873289266,0.7794452097028417
trend_quality_2022_2023_greedy,trend_quality,2022_2023,greedy,20,/mnt/d/git/backtesting/experiment/etf/clustering_vs_greedy/pools/trend_quality_2022_2023_greedy.csv,0.3834501462951301,0.9795465049178129
