代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159725.SZ,线上消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-17.883,-31.506,-1.786,-32.27,0.0,0.0,7
159805.SZ,传媒ETF,etf,kama_cross,2022-01-04,2023-12-29,-0.184,-0.353,-0.009,-20.471,33.33,2.36,6
159819.SZ,人工智能ETF,etf,kama_cross,2022-01-04,2023-12-29,21.516,45.394,0.712,-20.273,50.0,7.78,6
159845.SZ,中证1000ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.658,-5.042,-0.246,-15.998,40.0,0.84,5
159847.SZ,医疗ETF易方达,etf,kama_cross,2022-01-04,2023-12-29,-16.376,-29.07,-1.462,-31.952,0.0,0.0,6
159850.SZ,恒生国企ETF,etf,kama_cross,2022-01-04,2023-12-29,-7.614,-14.11,-1.015,-14.11,0.0,0.0,2
159855.SZ,影视ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.27,-11.695,-0.254,-34.504,33.33,1.49,6
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159867.SZ,畜牧ETF,etf,kama_cross,2022-01-04,2023-12-29,-11.918,-21.631,-1.011,-27.413,0.0,0.0,5
159869.SZ,游戏ETF,etf,kama_cross,2022-01-04,2023-12-29,-20.504,-35.642,-1.179,-41.021,0.0,0.0,5
159887.SZ,银行ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.798,-5.305,-0.192,-11.614,40.0,1.1,10
159960.SZ,恒生中国企业ETF,etf,kama_cross,2022-01-04,2023-12-29,-9.114,-16.769,-0.924,-22.552,0.0,0.0,5
159968.SZ,中证500ETF博时,etf,kama_cross,2022-01-04,2023-12-29,1.303,2.517,0.114,-18.58,28.57,3.28,7
159982.SZ,中证500ETF鹏华,etf,kama_cross,2022-01-04,2023-12-29,1.014,1.956,0.079,-13.184,20.0,4.74,10
159994.SZ,5GETF,etf,kama_cross,2022-01-04,2023-12-29,-4.252,-8.007,-0.344,-18.393,20.0,2.34,5
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
160717.SZ,H股LOF,etf,kama_cross,2022-01-04,2023-12-29,7.182,14.249,0.283,-21.529,20.0,7.24,10
161124.SZ,港股小盘LOF,etf,kama_cross,2022-01-04,2023-12-29,-10.257,-17.324,-1.174,-24.157,20.0,0.54,5
161125.SZ,标普500LOF,etf,kama_cross,2022-01-04,2023-12-29,0.256,0.491,0.036,-14.258,20.0,4.51,5
161128.SZ,标普信息科技LOF,etf,kama_cross,2022-01-04,2023-12-29,-2.108,-4.009,-0.248,-10.098,33.33,1.31,3
