ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,price_efficiency_normalized,price_efficiency_component,final_score,stage2_rank,final_rank
159945.SZ,能源ETF广发,其他,21.13697,,,,0.66919,-0.30668,0.74105,0.20348,0.49701,0.54091,-0.01437,-0.23761,0.28452,0.15307,0.59749,-0.31826,0.86842,0.86842,0.86842,16,1
159870.SZ,化工ETF,周期,34.76997,,,,0.53294,-0.12923,,0.32785,0.51674,0.64051,-0.03299,-0.08213,0.40333,0.36539,1.03965,-0.21896,0.95614,0.95614,0.95614,6,2
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.98246,0.98246,0.98246,3,3
161125.SZ,标普500LOF,其他,21.81959,,,,0.23705,0.13168,0.57753,0.52826,0.50281,0.47195,0.08704,0.13810,0.48141,0.41316,0.86365,0.62183,0.89474,0.89474,0.89474,13,4
161116.SZ,黄金主题LOF,其他,24.13388,,,,0.27397,0.05804,-0.22387,0.21444,0.48680,0.46201,0.02703,0.06675,0.26949,0.10724,1.56589,0.27547,0.72807,0.72807,0.72807,32,5
162411.SZ,华宝油气LOF,其他,21.70093,,,,0.75245,-0.06165,1.50785,0.37322,0.55491,0.60627,-0.00857,-0.13189,0.54461,0.70572,0.68765,-0.21111,0.99123,0.99123,0.99123,2,6
161028.SZ,新能源车LOF,新能源,33.46621,,,,0.76896,-0.00681,,0.45622,0.49629,0.56157,-0.20650,-0.01087,0.33575,0.05474,0.84879,-0.02291,0.85088,0.85088,0.85088,18,7
159801.SZ,芯片ETF龙头,科技,23.23077,,,,0.67399,0.09101,0.88887,0.15904,0.50601,0.63153,-0.09515,0.14200,0.32555,0.31160,0.76131,0.28825,0.92105,0.92105,0.92105,10,8
159852.SZ,软件ETF,科技,26.01137,,,,0.45233,0.09790,,0.32898,0.49493,0.63330,0.02273,0.05426,0.37620,0.30468,0.88553,0.15813,0.84211,0.84211,0.84211,19,9
588000.SH,科创50ETF,其他,26.01876,,,,0.48078,0.06499,0.07107,0.18618,0.52391,0.70223,-0.06172,0.05001,0.26383,0.08141,0.84372,0.13999,0.97368,0.97368,0.97368,4,10
159903.SZ,深成ETF,其他,19.20818,,,,0.36253,0.07248,0.19768,0.30896,0.50678,0.48704,-0.00349,0.05965,0.47523,0.60994,0.96295,0.25823,0.92982,0.92982,0.92982,9,11
159943.SZ,深证成指ETF,其他,30.16240,,,,0.98776,-0.90905,-0.89157,0.21710,0.31572,0.47817,0.00407,-0.90960,0.29795,0.36102,1.19290,-0.48300,0.04386,0.04386,0.04386,110,12
159839.SZ,生物药ETF,医药,29.93373,,,,0.62943,-0.23413,,0.45622,0.49712,0.62163,-0.12249,-0.20063,0.42587,0.32428,1.13039,-0.41648,0.87719,0.87719,0.87719,15,13
160125.SZ,南方香港LOF,其他,25.51037,,,,0.43229,-0.25649,-0.18779,0.44624,0.45280,0.39016,-0.16493,-0.22964,0.55516,0.76644,1.63132,-0.57455,0.43860,0.43860,0.43860,65,14
159850.SZ,恒生国企ETF,其他,25.81458,,,,0.39649,-0.14570,,0.49370,0.48934,0.61856,-0.04897,-0.13897,0.59725,0.80870,1.08894,-0.39775,0.77193,0.77193,0.77193,27,15
159993.SZ,证券ETF龙头,金融,21.16303,,,,0.50707,0.00480,0.11223,0.41813,0.55634,0.62458,0.08112,0.01940,0.45137,0.37963,1.12631,0.05541,1.00000,1.00000,1.00000,1,16
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,0.85965,0.85965,0.85965,17,17
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.70175,0.70175,0.70175,35,18
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.03509,0.03509,0.03509,111,19
159936.SZ,可选消费ETF,消费,14.96240,,,,0.36536,0.10815,0.08065,0.41275,0.44646,0.39439,0.02032,0.08290,0.41977,0.40010,1.43215,0.29931,0.40351,0.40351,0.40351,69,20
