,adx_mean,trend_consistency,price_efficiency,liquidity_score,momentum_3m,momentum_12m,excess_return_20d,excess_return_60d,trend_quality,volume_trend,idr
adx_mean,1.0,0.1263829838444993,0.06322674712946275,0.36514839847193653,-0.158352256030775,-0.10500439252192408,-0.2668100339272834,-0.13346245291587636,-0.24883391659765447,-0.05350893596559186,-0.18158843800924318
trend_consistency,0.1263829838444993,1.0,0.007914087197511268,0.015053703118123669,0.010729937635127544,-0.13152236736028028,0.1947364132734028,0.07282946839508206,0.5767812324519843,0.1596013106275177,0.05681136655013628
price_efficiency,0.06322674712946275,0.007914087197511268,1.0,0.14628703347441324,0.010315708470869362,0.49362699012067873,0.10330693991616209,0.045341325611064985,0.18073753062918937,-0.2125959377088354,0.049602073672060105
liquidity_score,0.36514839847193653,0.015053703118123669,0.14628703347441324,1.0,0.04773328346646007,-0.0016337099086047194,-0.3015734779472658,0.04658990730104453,-0.22218363476077257,-0.0643068949857078,0.0018913792642855235
momentum_3m,-0.158352256030775,0.010729937635127544,0.010315708470869362,0.04773328346646007,1.0,0.2435306628855016,0.4594555606016082,0.9609408810407929,0.10546843694066732,-0.017166671119066064,0.941842759062859
momentum_12m,-0.10500439252192408,-0.13152236736028028,0.49362699012067873,-0.0016337099086047194,0.2435306628855016,1.0,0.1235454587488248,0.3097113265416211,0.02472142163586764,-0.2715040919809503,0.3345560470385155
excess_return_20d,-0.2668100339272834,0.1947364132734028,0.10330693991616209,-0.3015734779472658,0.4594555606016082,0.1235454587488248,1.0,0.4367803809472925,0.3243875724628002,0.19770256191061364,0.46487858306841556
excess_return_60d,-0.13346245291587636,0.07282946839508206,0.045341325611064985,0.04658990730104453,0.9609408810407929,0.3097113265416211,0.4367803809472925,1.0,0.10661448454572169,-0.023177410306414126,0.9820265541100098
trend_quality,-0.24883391659765447,0.5767812324519843,0.18073753062918937,-0.22218363476077257,0.10546843694066732,0.02472142163586764,0.3243875724628002,0.10661448454572169,1.0,0.14074479737130338,0.12335105388293752
volume_trend,-0.05350893596559186,0.1596013106275177,-0.2125959377088354,-0.0643068949857078,-0.017166671119066064,-0.2715040919809503,0.19770256191061364,-0.023177410306414126,0.14074479737130338,1.0,-0.035938877461063765
idr,-0.18158843800924318,0.05681136655013628,0.049602073672060105,0.0018913792642855235,0.941842759062859,0.3345560470385155,0.46487858306841556,0.9820265541100098,0.12335105388293752,-0.035938877461063765,1.0
