ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,momentum_12m_normalized,momentum_12m_component,final_score,stage2_rank,final_rank
162719.SZ,石油LOF,周期,20.67802,,,,0.70283,0.06761,1.71630,0.27629,0.50836,0.50298,0.01749,-0.03664,0.48247,0.66276,0.54130,-0.06415,1.00000,1.00000,1.00000,1,1
159806.SZ,新能源车ETF,新能源,27.60548,,,,0.81062,0.01201,1.47196,0.37194,0.47915,0.69409,-0.21948,0.00000,0.30693,0.06969,0.93848,0.00000,0.97826,0.97826,0.97826,3,2
501057.SH,新能源车LOF,新能源,27.55254,,,,0.75901,0.01064,1.45272,0.40973,0.46056,0.60071,-0.21403,0.00997,0.29494,0.01452,0.81670,0.01977,0.96739,0.96739,0.96739,4,3
160723.SZ,嘉实原油LOF,其他,23.27088,,,,0.53236,0.01174,1.41819,0.20333,0.49344,0.48930,0.17285,-0.05218,0.45381,0.66465,0.75419,-0.09746,0.95652,0.95652,0.95652,5,4
160216.SZ,国泰商品LOF,其他,23.26898,,,,0.55713,-0.00605,1.40837,0.21664,0.49224,0.51288,0.19470,-0.07458,0.47125,0.70486,1.36577,-0.12309,0.94565,0.94565,0.94565,6,5
159974.SZ,央企创新ETF,其他,23.93358,,,,0.37440,-0.01663,0.91779,0.41813,0.35727,0.45039,0.01132,0.04948,0.44967,0.57362,2.23528,0.14833,0.93478,0.93478,0.93478,7,6
159801.SZ,芯片ETF龙头,科技,23.23077,,,,0.67399,0.09101,0.88887,0.15904,0.50601,0.63153,-0.09515,0.14200,0.32555,0.31160,0.76131,0.28825,0.92391,0.92391,0.92391,8,7
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.90217,0.90217,0.90217,10,8
159930.SZ,能源ETF,其他,19.43929,,,,0.67073,-0.28329,0.82997,0.17937,0.47853,0.59928,-0.01529,-0.20344,0.24773,0.08530,0.74209,-0.28494,0.89130,0.89130,0.89130,11,9
161815.SZ,抗通胀LOF,其他,22.38106,,,,0.37061,0.02822,0.78806,0.21490,0.51020,0.43538,0.13282,-0.04343,0.44650,0.61440,0.77289,-0.11261,0.88043,0.88043,0.88043,12,10
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.86957,0.86957,0.86957,13,11
159967.SZ,创业板成长ETF,其他,23.43364,,,,0.68949,0.08018,0.75266,0.32340,0.46338,0.69142,-0.14776,0.05788,0.28406,0.06539,0.78768,0.11842,0.85870,0.85870,0.85870,14,12
159945.SZ,能源ETF广发,其他,21.13697,,,,0.66919,-0.30668,0.74105,0.20348,0.49701,0.54091,-0.01437,-0.23761,0.28452,0.15307,0.59749,-0.31826,0.84783,0.84783,0.84783,15,13
160416.SZ,石油基金LOF,周期,21.68848,,,,0.40832,0.00377,0.67235,0.28786,0.47349,0.47553,-0.00000,-0.07290,0.51006,0.76883,0.72547,-0.18711,0.83696,0.83696,0.83696,16,14
159982.SZ,中证500ETF鹏华,其他,23.21620,,,,0.30167,0.06336,0.61913,0.50000,0.49017,0.65279,0.02416,0.08986,0.60208,0.81607,0.89904,0.42141,0.82609,0.82609,0.82609,17,15
159941.SZ,纳指ETF,其他,20.94159,,,,0.35029,0.14720,0.60038,0.43559,0.44605,0.65228,0.06305,0.18432,0.43341,0.41860,1.12899,0.55248,0.81522,0.81522,0.81522,18,16
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,0.80435,0.80435,0.80435,19,17
159959.SZ,央企ETF,其他,19.84887,,,,0.34072,0.03383,0.58695,0.45525,0.42009,0.43846,0.03383,0.06940,0.52279,0.69303,1.74308,0.27432,0.79348,0.79348,0.79348,20,18
161125.SZ,标普500LOF,其他,21.81959,,,,0.23705,0.13168,0.57753,0.52826,0.50281,0.47195,0.08704,0.13810,0.48141,0.41316,0.86365,0.62183,0.78261,0.78261,0.78261,21,19
161130.SZ,纳斯达克100LOF,其他,22.05718,,,,0.31813,0.13262,0.57055,0.34962,0.44566,0.55002,0.04149,0.18063,0.40890,0.43142,1.29621,0.64308,0.77174,0.77174,0.77174,22,20
