ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,excess_return_60d_normalized,excess_return_60d_component,final_score,stage2_rank,final_rank
501312.SH,海外科技LOF,科技,44.66154,,,,0.61169,0.65962,,0.43210,,0.50828,0.28145,0.68803,0.63569,0.83927,1.42555,1.04281,1.00000,1.00000,1.00000,1,1
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.40525,0.51089,0.59077,0.75509,2.13699,1.06985,0.99845,0.99845,0.99845,2,2
161128.SZ,标普信息科技LOF,科技,24.61880,,,,0.50280,0.30516,1.40582,0.39196,0.53137,0.58961,0.07242,0.36455,0.57986,0.81623,1.37491,0.85970,0.99691,0.99691,0.99691,3,3
501225.SH,全球芯片LOF,科技,34.57941,,,,0.44062,0.32364,,0.43241,,0.52578,0.14275,0.32102,0.57404,0.71567,1.13211,0.67370,0.99536,0.99536,0.99536,4,4
160140.SZ,美国REIT精选LOF,其他,24.12884,,,,0.31704,0.24950,0.20291,0.49652,0.47912,0.45997,0.19434,0.31593,0.56985,0.73390,1.99102,0.81449,0.99382,0.99382,0.99382,5,5
159660.SZ,纳指100ETF,其他,34.29998,,,,0.32142,0.27653,,0.52002,,0.55363,0.11570,0.29877,0.65470,0.78939,0.75633,0.98732,0.99227,0.99227,0.99227,6,6
159659.SZ,纳斯达克100ETF,其他,37.18176,,,,0.33397,0.26107,,0.47558,,0.51333,0.09791,0.29177,0.62771,0.77985,1.46772,0.91883,0.98918,0.98918,0.98918,8,7
513390.SH,纳指100ETF,其他,36.27913,,,,0.33385,0.25656,,0.51700,,0.57826,0.11557,0.27551,0.64449,0.77198,1.89071,0.90524,0.98609,0.98609,0.98609,10,8
513030.SH,德国ETF,其他,23.26053,,,,0.32099,0.17636,0.52539,0.43876,0.42359,0.60506,0.06889,0.24491,0.57245,0.85500,1.40972,0.84631,0.97527,0.97527,0.97527,17,9
513520.SH,日经ETF,其他,21.67082,,,,0.46207,0.16902,0.57263,0.41669,0.49299,0.56489,0.12976,0.22876,0.56979,0.79969,1.63874,0.53377,0.97372,0.97372,0.97372,18,10
162415.SZ,美国消费LOF,消费,22.91449,,,,0.39186,0.17279,0.71006,0.45402,0.48271,0.47574,0.11983,0.22614,0.55237,0.72036,1.40448,0.63870,0.97218,0.97218,0.97218,19,11
513310.SH,中韩半导体ETF,科技,27.91410,,,,0.42703,0.18414,,0.36006,0.41676,0.62116,0.00979,0.21828,0.40100,0.42617,0.68166,0.49882,0.96909,0.96909,0.96909,21,12
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.15423,0.20018,0.53122,0.70060,2.04696,0.66687,0.96754,0.96754,0.96754,22,13
513290.SH,纳指生物科技ETF,科技,16.25971,,,,0.30754,0.20366,0.08381,0.48715,0.46937,0.55867,0.27371,0.19446,0.43456,0.34715,2.11902,0.47111,0.96600,0.96600,0.96600,23,14
513500.SH,标普500ETF,其他,23.34374,,,,0.26098,0.15743,0.55862,0.47240,0.49711,0.63477,0.08490,0.18752,0.57524,0.75622,1.04635,0.83548,0.96445,0.96445,0.96445,24,15
159655.SZ,标普ETF,其他,24.06482,,,,0.26539,0.15558,0.56377,0.44526,0.39460,0.48732,0.08816,0.18014,0.53306,0.75930,1.54968,0.77784,0.96136,0.96136,0.96136,26,16
159866.SZ,日经ETF,其他,22.92589,,,,0.34261,0.12314,0.43822,0.40082,0.51062,0.55456,0.11344,0.17101,0.55652,0.75813,1.34335,0.43299,0.95981,0.95981,0.95981,27,17
513080.SH,法国CAC40ETF,其他,22.74169,,,,0.32682,0.11196,0.52631,0.38909,0.41831,0.54378,0.07073,0.16370,0.54639,0.83177,1.29647,0.58192,0.95827,0.95827,0.95827,28,18
513000.SH,日经225ETF易方达,其他,20.79955,,,,0.48166,0.10533,0.47547,0.39621,0.49811,0.54220,0.08053,0.15949,0.55515,0.77114,1.76360,0.43321,0.95672,0.95672,0.95672,29,19
513880.SH,日经225ETF,其他,25.37509,,,,0.32544,0.10394,0.44613,0.40128,0.45775,0.50782,0.08892,0.15293,0.53960,0.75976,2.01551,0.42194,0.95518,0.95518,0.95518,30,20
